Type,City,Country,Latitude,Longitude
destination charger,Nipigon,Canada,49.016449,-88.311198
supercharger,Grants,United States,35.150593,-107.85
destination charger,Rezzato,Italy,45.512146,10.311645
destination charger,Miguel Hidalgo,Mexico,19.429584,-99.211029
destination charger,Skjåk,Norway,61.882858,8.26967
destination charger,Corpus Christi,United States,27.696245,-97.349457
destination charger,三重県,Japan,34.305614,136.884709
destination charger,북구,South Korea,35.1718225,126.9200511
destination charger,East Maitland,Australia,-32.762583,151.590355
supercharger,Jettingen,Germany,48.411054,10.44042
destination charger,Vettelschoss,Germany,50.615644,7.313219
destination charger,Chihuahua,Mexico,29.049592,-106.328074
destination charger,Monterrey,Mexico,25.665314,-100.317098
destination charger,London,United Kingdom,51.516146,-0.06752
destination charger,Azcapotzalco,Mexico,19.464028,-99.181805
destination charger,Ledro,Italy,45.899817,10.705219
destination charger,San Genesio,Italy,46.530736,11.340308
destination charger,Proleb,Austria,47.399939,15.158558
destination charger,Ridnaun,Italy,46.900732,11.318828
destination charger,Morogues,France,47.240838,2.598172
supercharger,Plovdiv,Bulgaria,42.144727,24.768828
destination charger,Hervey Bay,Australia,-25.283167,152.880403
destination charger,Cambria,United States,35.573683,-121.112315
destination charger,Zsambek,Hungary,47.517493,18.732786
destination charger,San Diego,United States,32.70937,-117.232073
destination charger,Galveston,United States,29.305229,-94.798922
destination charger,Lauderdale-by-the-Sea,United States,26.1852677,-80.0958898
destination charger,Castiglion Fiorentino,Italy,43.267189,11.851423
standard charger,Dol de bretagne,France,48.550872,-1.719549
destination charger,Ostrava,Czech Republic,49.80338,18.251217
destination charger,Taisten,Italy,46.767186,12.102934
destination charger,Monmouth,United Kingdom,51.821228,-3.017742
destination charger,Merrijig,Australia,-37.10881,146.337112
destination charger,Kasterlee,Belgium,51.228766,4.978059
destination charger,Cancun,Mexico,21.135493,-86.745043
standard charger,Asolo,Italy,45.802941,11.913634
destination charger,Turners Hill,United Kingdom,51.107856,-0.066426
destination charger,Dubai,United Arab Emirates,25.099428,55.133462
destination charger,Zlin,Czech Republic,49.228538,17.673764
destination charger,Stellshagen,Germany,53.946376,11.141682
destination charger,Regensburg,Germany,49.013987,12.107407
destination charger,Olomouc,Czech Republic,49.607805,17.216171
destination charger,Grosswoltersdorf,Germany,53.131552,13.116343
destination charger,Neukirchen a. Gr./Ven.,Austria,47.254184,12.271526
destination charger,New York,United States,40.776574,-73.96047
standard charger,Morzine,France,46.183695,6.707521
destination charger,Methven,New Zealand,-43.629687,171.650656
supercharger,Gützkow,Germany,53.943943,13.396739
supercharger,North Bay,Canada,46.33226,-79.470873
supercharger,속초시,South Korea,38.180856,128.611593
supercharger,Tuscaloosa,United States,33.175206,-87.450309
destination charger,Waidhofen an der Ybbs,Austria,47.962856,14.775617
supercharger,York,United States,39.910429,-76.700866
destination charger,Saint-Amarin,France,47.89204,7.046411
destination charger,Rochester,United States,43.145031,-77.58624
supercharger,Rawlins,United States,41.790874,-107.210254
destination charger,Portland,United States,45.57809,-122.56863
